id,Country,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22
0,Washington,4804,4905,5112,5283,5458,5696,6011,6409,6882,7408,7949,8463,8915,9286
1,Illinois,22485,22809,23227,23886,24852,26248,28082,30220,32385,34280,35736,36743,37389,37784
2,California,49504,51425,53474,54861,55751,56420,56918,57284,57553,57748,57890,57992,58066,58120
3,Arizona,15590,16026,16687,17964,19995,22538,24763,26096,26709,26951,27041,27074,27086,27090
4,Massachusetts,15757,16021,16178,16351,16521,16661,16775,16865,16936,16991,17033,17066,17090,17109
5,Wisconsin,6855,6944,7098,7226,7311,7408,7499,7583,7674,7753,7833,7909,7978,8047
6,Texas,43101,44711,47075,48854,50165,51372,52492,53497,54396,55191,55884,56486,57003,57444
7,Nebraska,2027,2048,2113,2160,2198,2245,2300,2362,2427,2494,2557,2614,2663,2703
8,Utah,1844,1887,1954,2009,2053,2096,2137,2175,2209,2238,2264,2285,2302,2317
9,Oregon,2202,2260,2318,2396,2504,2653,2853,3110,3419,3767,4128,4472,4774,5022
10,Florida,29706,30583,31700,32605,33336,33994,34569,35057,35463,35794,36059,36269,36433,36561
11,New York,46760,47601,48800,50980,54373,58949,63729,67535,69940,71237,71876,72176,72314,72377
12,Rhode Island,2344,2388,2571,2658,2679,2695,2707,2716,2723,2728,2732,2734,2736,2738
13,Georgia,16505,17011,17811,18358,18714,19025,19293,19519,19710,19869,19999,20107,20194,20266
14,New Hampshire,1162,1189,1218,1248,1278,1310,1343,1376,1409,1441,1472,1501,1527,1552
15,North Carolina,10918,11304,11780,12179,12515,12827,13105,13346,13549,13715,13848,13954,14036,14100
16,New Jersey,22907,23317,23685,24033,24355,24640,24888,25102,25283,25435,25562,25667,25753,25824
17,Colorado,5909,5996,6111,6222,6332,6449,6569,6689,6804,6912,7010,7097,7171,7235
18,Maryland,7707,7841,8014,8175,8334,8511,8700,8897,9095,9288,9470,9638,9787,9916
19,Nevada,4880,5023,5175,5292,5381,5456,5517,5567,5607,5639,5664,5684,5700,5712
20,Tennessee,11243,11544,12154,12491,12633,12733,12800,12846,12877,12898,12912,12921,12928,12932
21,Hawaii,432,439,450,465,489,529,595,699,857,1078,1352,1650,1927,2150
22,Indiana,12509,12783,13143,13610,14198,14967,15909,16975,18080,19123,20025,20744,21283,21668
23,Kentucky,4503,4699,4918,5114,5284,5446,5594,5729,5848,5953,6042,6118,6182,6236
24,Minnesota,6507,6568,6585,6633,6703,6777,6853,6930,7006,7079,7149,7213,7271,7323
25,Oklahoma,4224,4418,4623,4778,4890,4977,5043,5093,5129,5155,5173,5187,5196,5203
26,Pennsylvania,23739,24340,25053,25731,26389,27064,27730,28368,28957,29486,29947,30339,30666,30934
27,South Carolina,8210,8464,8815,9203,9617,10067,10517,10931,11283,11562,11772,11924,12030,12102
28,District of Columbia,1013,1043,1079,1116,1155,1202,1254,1311,1369,1426,1479,1527,1568,1602
29,Kansas,4521,4674,4855,5019,5152,5282,5402,5513,5617,5711,5798,5875,5946,6009
30,Missouri,7879,7966,8164,8387,8683,9146,9808,10645,11548,12367,12998,13425,13689,13843
31,Vermont,195,201,210,224,246,281,333,404,491,583,663,723,761,783
32,Virginia,7235,7435,7613,7635,7635,7635,7635,7635,7635,7635,7635,7635,7635,7635
33,Connecticut,7514,7607,7970,8148,8204,8255,8301,8342,8378,8409,8436,8459,8479,8495
34,Iowa,5361,5466,5613,5714,5782,5838,5884,5921,5950,5974,5992,6007,6018,6027
35,Louisiana,9445,9574,9701,9799,9875,9941,9997,10044,10082,10114,10139,10159,10175,10188
36,Ohio,18288,19829,21622,23216,24677,26129,27531,28844,30042,31107,32033,32823,33486,34034
37,Michigan,16346,16531,16795,17068,17392,17822,18373,19047,19825,20668,21516,22312,23008,23580
38,South Dakota,1861,1881,1939,1971,1984,1994,2002,2008,2012,2016,2018,2020,2021,2022
39,Arkansas,5428,5580,5741,5914,6054,6197,6336,6455,6574,6677,6769,6854,6926,6990
40,Delaware,1313,1336,1374,1399,1414,1426,1436,1444,1450,1455,1458,1461,1463,1464
41,Mississippi,6645,6781,6956,7089,7191,7283,7366,7440,7505,7562,7611,7654,7691,7723
42,New Mexico,3607,3680,3788,3886,3977,4075,4179,4286,4395,4503,4607,4705,4795,4876
43,North Dakota,1470,1476,1505,1520,1524,1528,1531,1534,1536,1538,1540,1542,1543,1544
44,Wyoming,661,671,689,701,708,715,722,728,733,739,743,748,752,755
45,Alaska,285,288,293,297,300,303,306,309,313,316,319,322,325,328
46,Maine,658,666,671,680,695,714,740,772,810,850,889,924,954,977
47,Alabama,9906,10409,10757,11110,11434,11720,11967,12178,12357,12507,12632,12736,12821,12892
48,Idaho,1830,1852,1858,1870,1885,1897,1907,1915,1922,1927,1932,1935,1938,1940
49,Montana,1348,1367,1377,1393,1413,1435,1457,1478,1498,1517,1533,1546,1558,1567
50,Puerto Rico,1949,1974,2050,2115,2181,2278,2419,2616,2886,3238,3670,4162,4673,5156
51,Virgin Islands,25,25,26,26,27,28,30,34,38,41,42,43,43,43
52,Guam,130,131,132,133,134,136,138,141,146,153,161,173,187,204
53,West Virginia,2283,2345,2421,2485,2542,2598,2652,2703,2749,2791,2828,2859,2886,2908
54,Northern Mariana Islands,2,2,2,2,2,2,2,2,2,2,2,2,2,2
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
